RandomSeed	CP1	CP2	CP3	CP4
3560474788	460	910	1290	1820
1426407803	1230	1810	2300	3570
2911380690	400	740	2930	4170
202362393	1330	1840	2430	4150
1867396530	850	1170	1510	4120
4148178452	1380	1840	2380	3680
1688093206	1700	3860	4700	5030
2086016736	2140	3110	3400	3960
752419459	750	1110	1270	1400
3511767420	1760	2980	3730	4150
1784529430	1440	3560	3960	4410
4163561624	990	1350	1800	4320
3561553319	560	1250	2070	3980
1093064790	1410	2050	2630	3570
4151185157	3330	3820	4270	4790
3885875412	830	1350	1730	4230
1210438189	530	920	1430	1960
2249320797	4250	4570	4850	5060
2638735810	1850	3180	4510	4970
1431452138	470	1100	2380	3390
1902918162	3400	3860	4290	4850
4162839778	430	850	1260	1780
2906766308	460	1190	2640	3760
1766306362	1830	2970	3500	4110
1502278144	310	440	580	1650
2077581042	1320	2950	3330	4090
3004386218	760	1210	2340	3920
260437035	1530	2920	3390	3930
2686521330	1170	1640	2070	3590
1433505067	1560	3210	4290	4870
3408137965	990	1960	4310	4940
605164055	1010	3030	3570	4200
1325495315	590	1310	2540	3960
1543545976	350	680	2630	4400
3158731842	1270	3050	3510	4350
2943855456	1130	2460	3950	4740
681956714	420	680	980	1370
3202800826	1440	2180	4350	4820
2340646523	1290	1840	2480	3330
1545911017	600	1060	2520	3600
3850291157	550	1470	2670	3840
3613936563	1710	2830	3340	3960
1738834172	420	780	1680	2410
2411119382	940	3050	3580	4060
4021357024	470	1050	2350	4420
1380382151	1430	1910	2490	3570
686464603	1270	1730	2140	3220
490930102	420	860	1720	4070
3573768795	1400	3070	3610	4280
498819122	430	710	990	1310
2853210158	2130	3240	3740	4280
1950716087	700	1280	2180	3360
271670114	4030	4400	4720	5040
2323973345	1290	1480	1750	2270
2475794743	1830	2820	3390	3930
3207574530	2100	2900	4500	4970
1168278694	1770	2950	4170	4880
495660071	1160	3250	3810	4360
1141467413	3450	4120	4500	4950
1085710919	1050	1370	1720	4260
685255253	1470	3240	3680	4140
1938077649	1010	1190	1350	1810
499990696	1260	1700	2160	3970
1224891457	3200	3860	4330	4820
900216840	1490	2000	2460	3420
3902679188	2930	3700	4330	4860
849390936	3090	3260	3430	3890
2096160780	1340	2710	3120	3810
4047415649	1610	2630	4070	4680
1049637503	740	1060	1390	3290
3460724957	940	2310	4040	4810
4036006841	560	1150	2810	3980
